,AIN,TOC Status,confirmTOC,notes,include,Address,cp_casenum,full_approvetime,minus_holddays,zc_floorarea,total_units,aff_units,mr_units,pct_aff,Council District,TOC Dist,ZIPCODE,LV 2012,LV2020,LV 2015,SPA DUMMY,REDEV DUMMY,GEOID,MedianHouseholdIncome16,PerOO16,PerSingFam16,Median HomeValue16,MedianGrossRent16,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm
28,2332021018,Non-TOC BR,,,1,12611 W OXNARD ST,,984,984,16117.7,11,3,8,0.272727273,3,-2635.324871,91367,1047500,2338200,1731300,1,0,6037135113,72337,12.78982797,16.40783255,222100,2089,0,0,#N/A,#N/A,#N/A,17010-20000-00030,1/6/2017,9/17/2019
29,2333010017,Non-TOC Disc,,,1,6144 N WHITSETT AVE,DIR-2010-483-DB,541,520,26470,16,0,16,0,2,3216.798009,91606,1333000,3413000,2351300,0,0,6037123700,54806,55.55555556,67.18047527,506500,1269,0,1,3/28/2018,3/28/2018,8/21/2018,17010-10000-00949,3/7/2017,8/30/2018
30,2334011030,Non-TOC BR,,,1,11950 W ERWIN ST,,1701,1701,178417,161,0,161,0,2,1742.185099,91606,1333000,3413000,2351300,0,1,6037123901,49866,27.96961326,45.23498695,522100,1299,0,0,3/4/2015,#N/A,9/9/2016,19010-10000-00592,2019-02-11,2019-10-30
31,2335025017,Non-TOC Disc,,,1,6302 N BECK AVE,ENV-2018-3355-CE,924,924,11810,11,0,11,0,2,833.3896228,91606,1333000,3413000,2351300,0,0,6037124104,32038,10.66925315,18.02656546,410800,1074,0,1,6/12/2018,7/28/2017,6/12/2018,15010-20000-03007,2015-08-24,2018-03-05
32,2335032012,Non-TOC Disc,,,1,6226 N COLFAX AVE,EIO,630,630,50295,41,4,37,0.097560976,2,1084.935254,91606,1333000,3413000,2351300,0,0,6037124104,32038,10.66925315,18.02656546,410800,1074,0,1,#N/A,7/12/2018,#N/A,16010-10000-06426,2016-12-30,2018-09-21
33,2335032017,Non-TOC Disc,,,1,11671 W ERWIN ST,DIR-2017-1999-DB-WDI,362,347,11625,10,1,9,0.1,2,1302.016095,91606,1333000,3413000,2351300,0,0,6037124104,32038,10.66925315,18.02656546,410800,1074,0,1,5/18/2017,5/26/2016,10/20/2017,17010-30000-02813,2017-07-19,2018-05-15
34,2337009005,Non-TOC BR,,,1,11329 W OXNARD ST,,482,482,12951,10,0,10,0,3,-2635.324871,91367,1047500,2338200,1731300,1,0,6037135113,72337,12.78982797,16.40783255,222100,2089,0,0,#N/A,#N/A,#N/A,17010-20000-02895,7/26/2017,11/20/2018
35,2337034016,Non-TOC BR,,,1,5617 N KLUMP AVE,,548,548,5599,10,0,10,0,2,-1239.267824,91601,1701900,4341000,3056100,0,1,6037124204,36682,7.843137255,29.06220984,344000,1143,0,1,#N/A,5/5/2015,#N/A,16010-20000-03111,2016-07-13,2018-01-12
36,2338010023,Non-TOC BR,,,1,11490 W OXNARD ST,,460,460,10473,12,0,12,0,3,-2635.324871,91367,1047500,2338200,1731300,1,0,6037135113,72337,12.78982797,16.40783255,222100,2089,0,0,#N/A,#N/A,#N/A,18010-20000-02907,6/13/2018,9/16/2019
37,2338023005,Non-TOC Disc,,,1,5758 N CAMELLIA AVE,TT-73361-CN-M1,1378,1378,16203,13,0,13,0,2,212.4781583,91601,1701900,4341000,3056100,0,0,6037124102,43306,26.15708275,34.80845443,589500,1147,0,0,2/17/2015,#N/A,8/11/2017,16010-10000-03886,2016-08-30,2018-11-26
38,2338024009,Non-TOC Disc,,,1,11436 W HATTERAS ST,APCSV-2014-2529-ZC,1383,1383,25976,28,0,28,0,2,-24.20379122,91601,1701900,4341000,3056100,0,1,6037124102,43306,26.15708275,34.80845443,589500,1147,0,1,7/14/2014,5/24/2017,1/6/2015,15010-10000-01555,2015-04-28,2018-04-27
39,2338028017,TOC DISC,1,,1,5610 N CAMELLIA AVE,	DIR-2017-2919-TOC,721,721,42245,62,6,56,0.096774194,2,-713.5882207,91601,1701900,4341000,3056100,0,1,6037124102,43306,26.15708275,34.80845443,589500,1147,1,1,2/12/2018,5/15/2018,7/30/2018,16010-20000-06202,2016-12-27,2018-12-18
40,2340006015,Non-TOC BR,,,1,5923 N LAUREL CANYON BLVD,,407,407,14188,11,0,11,0,2,3793.072443,91607,2045800,,3221900,0,1,6037123800,50370,26.73101133,30.252443,562900,1263,0,0,#N/A,#N/A,#N/A,18010-20000-02176,2018-05-14,2019-06-25
41,2347008021,Non-TOC Disc,,,1,5405 N HERMITAGE AVE,DIR-2017-3204-SPP,433,381,16299,11,0,11,0,2,4167.430303,91607,2045800,,3221900,1,0,6037124902,37744,9.829619921,8.390304537,440500,1224,0,1,8/10/2017,6/9/2017,11/30/2017,17010-20000-02797,2017-07-18,2018-09-24
42,2347019010,Non-TOC Disc,,,1,12147 W MAGNOLIA BLVD,DIR-2017-4324-DB-SPP,559,501,26652,36,4,32,0.111111111,4,2143.824113,91505,1875600,4174400,2953900,0,0,6037311200,76454,47.28986646,70.49306626,555600,1566,0,1,10/26/2017,6/28/2018,9/26/2018,17010-20000-04803,12/6/2017,5/8/2019
43,2347026001,Non-TOC Disc,,,1,12301 W MAGNOLIA BLVD,DIR-2017-5302-SPP,665,555,42737,26,0,26,0,4,2143.824113,91505,1875600,4174400,2953900,0,0,6037311200,76454,47.28986646,70.49306626,555600,1566,0,1,12/14/2017,10/2/2018,10/5/2018,17010-20000-05167,12/28/2017,10/10/2019
44,2347031029,Non-TOC Disc,,,1,12444 W CHANDLER BLVD,CPC-2015-3338-DB-SPR-SPP,1152,1037,63932,69,9,60,0.130434783,2,-891.3541419,91601,1701900,4341000,3056100,0,1,6037125310,45357,18.54674797,23.69158879,592600,1266,0,1,9/10/2015,7/15/2016,12/6/2016,17010-20000-01171,3/17/2017,11/5/2018
45,2350001020,Non-TOC Disc,,,1,11616 W BURBANK BLVD,TT-74950-CN,293,111,32497,21,2,19,0.095238095,3,7436.938519,91367,1047500,2338200,1731300,0,0,6037137302,123304,86.80425266,100,692600,3185,0,1,3/29/2018,2/19/2019,4/25/2019,17010-20000-01916,5/17/2017,3/6/2018
46,2350003059,Non-TOC Disc,,,1,5525 N CASE AVE,DIR-2017-1545-DB-SPR,412,412,94569,98,9,89,0.091836735,2,-1590.556964,91601,1701900,4341000,3056100,0,1,6037125310,45357,18.54674797,23.69158879,592600,1266,0,1,4/18/2017,#N/A,12/20/2017,17010-30000-02978,2017-08-03,2018-06-04
47,2350005054,Non-TOC Disc,,,1,5550 N BONNER AVE,TT-82240-CN,792,685,44065,48,0,48,0,2,-1475.980977,91601,1701900,4341000,3056100,0,1,6037125310,45357,18.54674797,23.69158879,592600,1266,0,0,#N/A,#N/A,#N/A,16010-10000-00385,2016-02-04,2018-04-06
48,2350007065,Non-TOC Disc,,,1,11433 W ALBERS ST,DIR-2016-599-DB,752,573,41696,59,11,48,0.186440678,2,-1669.277629,91601,1701900,4341000,3056100,0,1,6037125200,50990,35.51575046,44.49648712,555800,1264,0,1,2/23/2016,8/14/2014,2/28/2017,16010-20000-05094,2016-11-03,2018-03-16
49,2350010015,TOC BR,1,,1,11502 W CUMPSTON ST,,549,549,12093,20,3,17,0.15,2,-1256.15213,91601,1701900,4341000,3056100,0,0,6037125200,50990,35.51575046,44.49648712,555800,1264,1,0,#N/A,#N/A,#N/A,18010-20000-03247,2018-06-22,2019-12-23
50,2350010016,Non-TOC Disc,,,1,11525 W CHANDLER BLVD,CPC-2016-4493-VZC-SPR,463,463,42137,60,6,54,0.1,2,-891.3541419,91601,1701900,4341000,3056100,0,1,6037125310,45357,18.54674797,23.69158879,592600,1266,0,1,11/28/2016,6/7/2017,9/13/2017,16010-20000-06398,12/30/2016,3/6/2018
51,2350012028,Non-TOC Disc,,,0,11311 W CHANDLER BLVD,DIR-2007-5802-SPR,4303,4303,125564,127,11,116,0.086614173,2,-2557.424414,91601,1701900,4341000,3056100,0,1,6037125320,38703,5.983518452,4.394095434,270700,1458,0,1,12/14/2007,4/4/2016,5/23/2016,17010-20000-03994,10/13/2017,9/25/2019
52,2350018094,Non-TOC BR,,,1,11115 W MCCORMICK ST,,646,646,16687.48,14,0,14,0,2,-3098.607484,91601,1701900,4341000,3056100,0,1,6037125320,38703,5.983518452,4.394095434,270700,1458,0,0,#N/A,#N/A,#N/A,16010-20000-03155,2016-07-18,2018-04-25
53,2353003019,Non-TOC Disc,,,1,11241 W OTSEGO ST,EIO,375,375,32568,42,0,42,0,2,-1832.002136,91601,1701900,4341000,3056100,0,1,6037125401,55653,7.615062762,4.563335956,319800,1390,0,1,#N/A,12/1/2016,#N/A,17010-10000-04951,2017-12-18,2018-12-28
54,2353013004,TOC DISC,1,,1,11246 W OTSEGO ST,	DIR-2018-1257-TOC,947,947,50690,70,7,63,0.1,2,-1795.326029,91601,1701900,4341000,3056100,0,1,6037125401,55653,7.615062762,4.563335956,319800,1390,1,1,3/8/2018,11/28/2018,2/11/2019,16010-20000-06204,2016-12-27,2019-08-01
55,2353022009,TOC BR,1,,1,11280 W PEACH GROVE ST,,215,215,18045,21,3,18,0.142857143,2,-354.0044693,91601,1701900,4341000,3056100,0,1,6037125402,70000,25.99800399,16.45752896,482300,1524,1,0,#N/A,#N/A,#N/A,18010-30000-03511,2018-07-11,2019-02-11
56,2353023018,Non-TOC Disc,,,1,11311 W CAMARILLO ST,DIR-2016-4332-DB-SPR,716,716,57523,60,6,54,0.1,2,145.8262249,91602,2559000,5143700,3944800,0,1,6037125402,70000,25.99800399,16.45752896,482300,1524,0,1,11/14/2016,4/4/2016,3/8/2017,17010-20000-01435,2017-04-27,2018-10-31
57,2354012049,Non-TOC Disc,,,1,11445 N RIVERSIDE DR,DIR-2016-1533-SPP,872,684,29434,29,2,27,0.068965517,2,519.2665371,91602,2559000,5143700,3944800,1,0,6037125200,50990,35.51575046,44.49648712,555800,1264,0,1,4/29/2016,#N/A,6/14/2017,17010-20000-02067,2017-05-26,2018-09-18
58,2355005061,Non-TOC Disc,,,1,11700 W MAGNOLIA BLVD,DIR-2016-721-SPP,697,697,22188,19,0,19,0,4,2143.824113,91505,1875600,4174400,2953900,0,0,6037311200,76454,47.28986646,70.49306626,555600,1566,0,1,3/4/2016,5/26/2016,5/27/2016,17010-10000-01370,4/5/2017,1/30/2018
59,2356020011,Non-TOC Disc,,,1,5110 N WHITSETT AVE,DIR-2017-4920-SPP,346,346,38220,15,0,15,0,2,3216.798009,91606,1333000,3413000,2351300,0,0,6037123700,54806,55.55555556,67.18047527,506500,1269,0,1,11/28/2017,12/21/2017,7/25/2018,17010-10000-05170,12/29/2017,11/9/2018
60,2359024031,Non-TOC BR,,,1,5020 N WOODMAN AVE,,434,434,68804,51,0,51,0,4,3529.680735,91423,2221100,4615700,3483600,0,0,6037124600,80161,45.3125,53.05397727,699300,1450,0,0,#N/A,#N/A,#N/A,18010-20000-05384,2018-11-05,2020-01-13
