AIN,HubDist
4217016001,9.796097702
4233023022,10.09006485
4236021021,11.20698488
4235002015,11.0062933
4235026016,10.59224594
4221023022,10.28392874
4221023034,10.278901
6046019920,9.005497282
6046021918,8.995588029
5528001078,7.376662294
5528003034,7.17119825
5528003040,7.16615709
5529007022,7.505256357
2276042001,9.4111607
7418004008,18.81605014
7418004009,18.80839728
2565013040,14.26129366
2565015065,14.33238893
2565015119,14.39815737
2138003020,22.57448405
2786006016,20.31564943
2764013011,20.65018975
2787017012,19.08685699
2787019007,19.02386728
2246020015,24.11041083
2148027005,19.62201292
2138022010,19.62201292
2220005003,18.71680353
2224004006,18.71680353
2530008901,17.37931849
2513006900,20.45876684
2654022017,17.32427209
2654025044,17.96658241
2654014031,17.76687593
2654008024,17.41135561
2409003046,13.38348863
2314008036,13.28437472
2314007017,13.31473374
2337009005,21.94711902
2338010023,21.94711902
2332021018,21.94711902
2350001020,24.01699927
2240013006,14.46623949
2240012014,14.50699159
2239006030,14.00228848
2239023003,13.6625579
2276041017,14.09219665
2221021005,15.09014141
2237001017,14.89348817
2210031012,15.80038863
2328012003,14.38184675
2328033043,14.54456789
2654037024,16.81992382
2206011022,16.73446491
2241013013,14.64385839
2241022003,14.61076881
2241017010,14.89931577
2248004017,13.40950923
2248005024,13.44873971
2359024031,12.86426543
2360021021,12.23130732
2284001016,15.38429243
2355005061,9.940594701
2347026001,9.940594701
2347019010,9.940594701
2419008017,9.940594701
2419001025,10.35336041
2419001020,10.36026383
2350010016,10.47075952
2347031029,10.47075952
2353022009,10.42851625
2421014032,10.09068948
2337034016,11.07185541
2338024009,11.40969245
2350005054,10.95514694
2350007065,11.13544339
2350003059,10.85475158
2350018094,10.63207808
2353003019,10.60075855
2353013004,10.5858629
2338028017,11.31311122
2350010015,11.17014756
2350012028,10.90948143
2338023005,11.46665173
2423005014,9.609858386
2353023018,10.3795746
2424005001,9.289959032
2354012049,10.5027785
2368009015,10.62094694
2367014027,10.63921784
2368004020,10.48712312
2317017002,13.26895571
2356020011,12.97602042
2324029019,12.97602042
2335032017,12.04202223
2335032012,12.10460056
2335025017,12.02432503
2333010017,12.97602042
2334011030,12.28391984
2347008021,11.84818482
2340006015,12.14864509
