AIN,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm,ladbs_appr
5020025014,0,0,#N/A,#N/A,#N/A,16010-20000-00549,2/10/2016,3/28/2018,777
5040018006,0,0,#N/A,#N/A,#N/A,17010-10000-04375,11/9/2017,5/7/2019,544
5043002016,0,0,#N/A,#N/A,#N/A,17010-10000-01522,4/20/2017,3/12/2018,326
5044011026,0,0,#N/A,#N/A,#N/A,18010-10000-00133,1/16/2018,3/22/2019,430
5046015030,0,0,#N/A,#N/A,#N/A,18010-20000-00374,1/31/2018,7/16/2019,531
5094009011,0,0,#N/A,#N/A,#N/A,18010-10000-00635,2/20/2018,6/27/2019,492
5094024006,0,0,#N/A,#N/A,#N/A,18010-10000-00075,1/9/2018,2/7/2019,394
5094025017,0,0,#N/A,#N/A,#N/A,16010-10000-05350,11/28/2016,11/26/2018,728
5156016017,0,0,#N/A,#N/A,#N/A,15010-10000-01568,4/29/2015,4/13/2018,"1,080"
5202001011,0,0,2/15/2018,#N/A,10/17/2018,18010-10000-03411,2018-07-05,2019-02-04,214
5312008017,0,0,#N/A,#N/A,#N/A,18010-10000-01253,3/21/2018,11/27/2018,251
5402008025,0,0,#N/A,#N/A,#N/A,18010-20000-02214,5/15/2018,12/30/2019,594
5419009021,0,0,#N/A,#N/A,#N/A,16010-10000-04687,10/12/2016,11/9/2018,758
5493004005,0,0,#N/A,#N/A,#N/A,17010-10000-01480,4/18/2017,1/8/2018,265
5504019023,0,0,#N/A,#N/A,#N/A,16010-20000-01660,4/22/2016,5/10/2018,748
5518002012,0,0,#N/A,#N/A,#N/A,17010-20000-03642,9/21/2017,1/12/2018,113
5521004020,0,0,#N/A,#N/A,#N/A,19010-20000-01620,4/17/2019,1/3/2020,261
5521011002,0,0,#N/A,#N/A,#N/A,18010-20000-00740,2/21/2018,10/12/2018,233
5522020011,0,0,#N/A,#N/A,#N/A,16010-10000-04103,9/16/2016,3/16/2018,546
5522028014,0,0,#N/A,#N/A,#N/A,17010-30000-05074,12/22/2017,8/30/2018,251
5529021047,0,0,#N/A,#N/A,#N/A,16010-20000-01046,3/17/2016,4/30/2018,774
5533021029,0,0,#N/A,#N/A,#N/A,17010-20000-05046,12/22/2017,8/1/2018,222
5535021003,0,0,#N/A,#N/A,#N/A,17010-10000-02568,6/30/2017,10/19/2018,476
5536004012,0,0,#N/A,#N/A,#N/A,17010-10000-02631,7/10/2017,8/15/2018,401
5537003004,0,0,#N/A,#N/A,#N/A,17010-20000-00675,2/21/2017,5/16/2018,449
5545015042,0,0,#N/A,#N/A,#N/A,16010-20000-05718,12/14/2016,6/5/2018,538
5682018046,0,0,#N/A,#N/A,#N/A,15010-10000-01754,5/14/2015,4/17/2018,"1,069"
6012010034,0,0,#N/A,#N/A,#N/A,17010-70000-02091,5/31/2017,4/30/2019,699
6046019927,0,0,#N/A,#N/A,#N/A,17010-10000-00976,4/12/2017,6/21/2018,435
6046021918,0,0,#N/A,#N/A,#N/A,17010-10000-00966,4/12/2017,6/21/2018,435
6048004030,0,0,#N/A,#N/A,#N/A,16010-30000-03047,7/8/2016,10/11/2018,825
6048022066,0,0,#N/A,#N/A,#N/A,17010-10000-02258,6/9/2017,9/27/2018,475
7418004008,0,0,#N/A,#N/A,#N/A,17010-30000-03489,9/8/2017,12/12/2018,460
7418004009,0,0,#N/A,#N/A,#N/A,17010-10000-02804,7/18/2017,9/7/2018,416
