GEOID,MedianHouseholdIncome16,PerOO16,Housing Units:,Housing Units: 1 Unit,PerSingFam16,Median HomeValue16,MedianGrossRent16
6037113231,90000,83.57142857,840,765,91.07142857,619700,1455
6037113232,101318,89.96363636,1401,1370,97.78729479,566900,1932
6037113233,41155,21.41982864,2598,483,18.59122402,351200,1187
6037113234,47262,48.34217507,1642,439,26.73568819,234900,1180
6037113235,71346,62.5,779,456,58.53658537,397000,1695
6037113237,83170,59.80595981,1537,823,53.54586858,642800,1674
6037113301,69286,68.15144766,1049,680,64.82364156,698400,2198
6037113303,83929,92.73381295,1395,1044,74.83870968,446300,1063
6037113321,56845,28.85425442,2499,624,24.969988,296600,1353
6037113322,87675,88.96746818,1414,1330,94.05940594,568500,1854
6037113401,72083,71.11609647,1820,1518,83.40659341,423400,1346
6037113421,57159,20.45801527,2095,460,21.95704057,408900,1423
6037113422,65147,54.48960302,2234,1282,57.38585497,436600,1173
6037115101,117198,91.60628019,1733,1693,97.69186382,724300,1888
6037115103,41136,0,63,0,0,,1731
6037115104,41080,20.66950053,2052,436,21.24756335,531700,1395
6037115201,49917,29.32142857,2872,743,25.87047354,500400,1423
6037115202,49688,39.71816284,1962,1096,55.86136595,431500,1244
6037115301,73241,60.12121212,1743,949,54.44635686,517500,1814
6037115302,43958,30.6122449,1061,428,40.33930254,392700,1289
6037115401,60665,34.70557582,2081,780,37.48197982,617000,1232
6037115403,41383,29.44664032,1048,444,42.36641221,475900,1150
6037115404,42379,45.04283966,886,662,74.71783296,429500,1461
6037117101,76413,69.72343523,1393,862,61.88083274,336900,1210
6037117102,68050,71.21401752,826,648,78.4503632,377800,1577
6037117201,45179,27.23292469,1243,426,34.27192277,444600,1107
6037117202,82500,84.05405405,768,734,95.57291667,452300,2594
6037117301,91738,87.00243704,1257,1239,98.56801909,436500,2631
6037117302,81389,75.47169811,1775,1518,85.52112676,485200,1760
6037117303,96161,89.91270611,1049,1034,98.57006673,450900,
6037117404,87305,69.28301887,1342,1193,88.89716841,456600,1593
6037117405,30733,8.468677494,878,70,7.972665148,164900,1143
6037117407,24292,1.851851852,967,35,3.619441572,135900,1111
6037117408,29125,19.51219512,893,191,21.38857783,338700,978
6037117510,32438,17.22689076,1070,210,19.62616822,328300,1193
6037117520,36500,18.92712551,1025,139,13.56097561,283500,1107
6037117530,37371,24.08005165,1619,383,23.65657813,231100,1137
6037119001,64038,78.30188679,977,977,100,367400,2118
6037119002,66400,62.36024845,1610,1390,86.33540373,339400,1363
6037119201,65694,76.52474108,897,887,98.8851728,354400,1309
6037119202,60508,70.36328872,1060,872,82.26415094,348600,1477
6037119310,42824,50.17482517,1192,436,36.57718121,227100,923
6037119320,44974,28.32764505,1216,411,33.79934211,295000,1452
6037119340,27360,3.189300412,1010,37,3.663366337,,1042
6037119341,45724,35.30166881,827,374,45.22370012,316700,1122
6037119342,43387,40.24064171,770,273,35.45454545,229700,1427
6037119400,72216,78.61751152,1136,1126,99.11971831,342400,1848
6037119700,78208,87.64845606,1339,1291,96.41523525,388500,1684
6037119800,73681,78.09388336,1454,1373,94.42916094,361100,1654
6037119900,73409,70.1320132,1253,1102,87.94892259,339600,1633
6037120010,46974,54.46685879,708,510,72.03389831,332500,1400
6037120020,31157,15.31531532,1131,241,21.30857648,309500,1034
6037120030,23345,9.784172662,739,84,11.36671177,353800,965
6037120103,26345,8.862275449,895,43,4.804469274,187500,1140
6037120104,35174,14.05835544,781,153,19.59026889,344800,1156
6037120105,29167,31.74603175,896,486,54.24107143,345800,965
6037120106,31741,7.556675063,1214,108,8.896210873,361000,1028
6037120107,28359,7.317073171,1061,137,12.91234684,320400,1070
6037120108,35200,32.35294118,1382,363,26.26628075,190000,1098
6037120300,59706,76.81365576,1474,1304,88.46675712,325600,1030
6037120400,37896,29.73621103,2101,803,38.21989529,333500,1125
6037121010,55490,69.52380952,1317,1117,84.81397115,364100,1423
6037121020,48537,45.14285714,1080,782,72.40740741,369200,1243
6037121101,47525,43.32977588,991,384,38.74873865,310800,1107
6037121102,53534,67.04402516,808,783,96.90594059,396800,1230
6037121210,46889,61.79487179,801,641,80.02496879,320800,791
6037121221,52115,64.43089431,540,500,92.59259259,317800,1210
6037121222,47422,25.91973244,1243,521,41.91472245,391200,1270
6037121600,86974,85.08557457,854,836,97.89227166,393100,1529
6037121801,32195,31.27208481,1218,507,41.62561576,315300,1187
6037121802,59792,76.5034965,735,707,96.19047619,357400,1581
6037121900,51754,64.62715105,1164,901,77.40549828,370300,1007
6037122000,62610,63.19488818,1592,1391,87.37437186,452000,1829
6037122120,50000,53.23475046,1138,731,64.23550088,365100,1343
6037122121,45667,44.65753425,765,412,53.85620915,392900,1060
6037122122,32625,23.1316726,626,264,42.17252396,366000,1109
6037122200,53750,46.44030668,955,766,80.20942408,346500,1268
6037122410,27241,8.625592417,1159,186,16.04831752,361800,1000
6037122420,44375,39.83799705,1376,599,43.53197674,417500,1115
6037123010,33051,30.72463768,1057,486,45.97918638,335100,1193
6037123020,48092,58.26296743,829,653,78.76960193,357400,1249
6037123103,41492,31.17223314,1585,566,35.70977918,344400,1144
6037123104,39847,21.70841362,1660,522,31.44578313,438100,1117
6037123203,36006,12.52236136,1118,254,22.71914132,349400,1004
6037123204,35594,16.68264621,1078,257,23.84044527,377800,1139
6037123205,40395,20.02762431,768,269,35.02604167,442200,1095
6037123206,32885,23.33333333,887,228,25.70462232,350700,1096
6037123301,57031,41.69468729,1568,767,48.91581633,355600,1247
6037123303,34457,30.4670913,954,441,46.22641509,428000,1214
6037123304,35033,15.56603774,1765,370,20.9631728,454600,1134
6037123410,39861,24.4913928,1294,442,34.1576507,389300,1151
6037123420,40697,30.63197026,1457,573,39.32738504,387400,1177
6037123510,45397,30.15974441,1648,667,40.47330097,486100,1086
6037123520,43672,38.33131802,887,446,50.28184893,518900,1181
6037123601,57813,34.10404624,1912,786,41.10878661,474700,1288
6037123602,39259,35.97014925,1350,702,52,596300,1229
6037123700,54806,55.55555556,1557,1046,67.18047527,506500,1269
6037123800,50370,26.73101133,2456,743,30.252443,562900,1263
6037123901,49866,27.96961326,1532,693,45.23498695,522100,1299
6037123902,68989,31.26142596,1146,452,39.44153578,566900,1460
6037124000,81548,52.51630941,2198,1267,57.6433121,777300,1443
6037124102,43306,26.15708275,1514,527,34.80845443,589500,1147
6037124103,38224,33.61486486,612,316,51.63398693,451400,1097
6037124104,32038,10.66925315,1054,190,18.02656546,410800,1074
6037124105,40576,12.68237935,939,255,27.15654952,367800,1135
6037124201,53598,45.59721011,1173,830,70.75873828,469900,1297
6037124203,44470,31.14355231,876,384,43.83561644,388000,1259
6037124204,36682,7.843137255,1077,313,29.06220984,344000,1143
6037124300,50335,25.01948558,1387,577,41.60057678,466500,1068
6037124400,67137,43.66972477,1672,722,43.18181818,591400,1204
6037124500,87423,46.85863874,1276,805,63.08777429,727300,1463
6037124600,80161,45.3125,1408,747,53.05397727,699300,1450
6037124700,76791,43.37616305,2374,1012,42.62847515,712700,1545
6037124902,37744,9.829619921,1609,135,8.390304537,440500,1224
6037124903,47750,10.37735849,1738,140,8.055235903,450600,1363
6037125100,52083,28.9021396,2971,743,25.00841468,715400,1271
6037125200,50990,35.51575046,1708,760,44.49648712,555800,1264
6037125310,45357,18.54674797,2140,507,23.69158879,592600,1266
6037125320,38703,5.983518452,2913,128,4.394095434,270700,1458
6037125401,55653,7.615062762,2542,116,4.563335956,319800,1390
6037125402,70000,25.99800399,2072,341,16.45752896,482300,1524
6037125501,47121,18.78824969,1692,450,26.59574468,477700,1265
6037125502,57188,19.05594406,1915,463,24.17754569,499300,1459
6037125600,68077,43.75,1298,669,51.54083205,759800,1413
6037127102,43750,28.35526316,1570,396,25.22292994,327300,1178
6037127103,40424,15.53308824,1196,179,14.96655518,,1047
6037127104,40357,36.67218543,1302,440,33.79416283,399600,1213
6037127210,42571,28.32278481,1919,507,26.42001042,346400,1124
6037127220,33918,19.14519906,1726,346,20.04634994,380100,1070
6037127300,44924,30.16336056,1780,605,33.98876404,394700,1063
6037127400,40000,23.37593184,1887,594,31.47853736,425600,1126
6037127520,27207,3.346007605,1395,25,1.792114695,274200,982
6037127603,41875,14.66372657,948,268,28.27004219,440200,1181
6037127604,32961,18.71345029,1230,191,15.52845528,313300,1104
6037127605,36977,11.00917431,1114,236,21.18491921,419000,1250
6037127606,49868,36.00352113,1142,536,46.9352014,394100,1167
6037127711,55996,41.78723404,1190,585,49.15966387,490000,1151
6037127712,33229,23.5738255,1212,344,28.38283828,533900,1077
6037127803,36054,23.46868548,1505,555,36.87707641,416200,1050
6037127804,41816,24.85911083,1646,502,30.4981774,395500,1106
6037127805,34824,22.84444444,1180,401,33.98305085,443600,1051
6037127806,34199,21.2677231,1254,398,31.738437,429500,1001
6037127910,33375,11.84931507,1610,322,20,430000,1155
6037127920,44135,36.67736758,1379,674,48.8759971,382700,1175
6037128101,43935,31.82186235,1269,550,43.34121355,446100,1160
6037128102,34583,20.6122449,1547,468,30.25210084,378800,1163
6037128210,28087,3.210702341,1565,174,11.11821086,436400,1160
6037128220,45168,33.30442324,1208,521,43.12913907,551700,1122
6037128302,35313,17.09459459,1547,346,22.36586942,355200,1104
6037128303,24183,5.09383378,1170,100,8.547008547,,1095
6037128400,62825,53.52622061,1659,942,56.78119349,548600,1265
6037128500,62750,38.67696765,2153,843,39.15466791,487400,1464
6037128601,40100,19.65116279,1745,456,26.13180516,475000,1133
6037128602,77125,47.21804511,1404,861,61.32478632,648400,1357
6037128702,68438,38.58675546,2913,1026,35.22142122,635400,1573
6037128801,57181,26.09649123,1927,365,18.94135963,480300,1317
6037128802,80682,34.61178672,2238,869,38.82931189,638500,1595
6037128910,74276,46.87672747,1840,965,52.44565217,652200,1539
6037131010,37029,23.64971159,2034,566,27.82694199,435100,1281
6037131020,55313,52.82083075,1658,1204,72.61761158,380200,1238
6037131100,67050,80.68833652,1085,1010,93.0875576,429700,1793
6037131200,65441,70.68965517,1231,1126,91.47034931,398400,2030
6037131300,58804,79.33333333,1261,1222,96.90721649,374900,2038
6037131400,60789,48.53556485,1952,1142,58.50409836,375700,1221
6037131600,67656,71.25340599,1534,1512,98.56584094,408400,1768
6037131701,47730,42.31851435,1787,751,42.02574147,310100,1253
6037131702,60625,64.20265781,1243,757,60.90104586,326100,1331
6037131800,49483,41.36690647,1723,933,54.14973883,410300,1197
6037131900,64722,72.08806818,1408,1387,98.50852273,385600,2112
